ticker	company	sector_name	avg_currency_correlation	avg_annual_return	exposure_category	interpretation	analysis_type	generated_at
CAH	Cardinal Health	Wholesalers: Health Care	0.0	0.0	Neutral	Minimal currency impact	currency_exposure	2025-11-24 19:01:11.037522
BAC	Bank of America	Commercial Banks	0.0	0.0	Neutral	Minimal currency impact	currency_exposure	2025-11-24 19:01:11.037522
AXP	American Express	Diversified Financials	0.0	0.0	Neutral	Minimal currency impact	currency_exposure	2025-11-24 19:01:11.037522
HP	HP	Computers, Office Equipment	0.0	0.0	Neutral	Minimal currency impact	currency_exposure	2025-11-24 19:01:11.037522
AVGO	Broadcom	Semiconductors and Other Electronic Components	0.0	0.0	Neutral	Minimal currency impact	currency_exposure	2025-11-24 19:01:11.037522
ATT.L	AT&T	Telecommunications	0.0	0.0	Neutral	Minimal currency impact	currency_exposure	2025-11-24 19:01:11.037522
APLE	Apple	Computers, Office Equipment	0.0	0.0	Neutral	Minimal currency impact	currency_exposure	2025-11-24 19:01:11.037522
AMZN	Amazon	Internet Services and Retailing	0.0	0.0	Neutral	Minimal currency impact	currency_exposure	2025-11-24 19:01:11.037522
ALL	Allstate	Insurance: Property and Casualty (Stock)	0.0	0.0	Neutral	Minimal currency impact	currency_exposure	2025-11-24 19:01:11.037522
ALL	Allstate	Insurance: Property and Casualty (Mutual)	0.0	0.0	Neutral	Minimal currency impact	currency_exposure	2025-11-24 19:01:11.037522
ADM	Archer Daniels Midland	Food Production	0.0	0.0	Neutral	Minimal currency impact	currency_exposure	2025-11-24 19:01:11.037522
ACI	Albertsons	Food & Drug Stores	0.0	0.0	Neutral	Minimal currency impact	currency_exposure	2025-11-24 19:01:11.037522
ABBV	AbbVie	Pharmaceuticals	0.0	0.0	Neutral	Minimal currency impact	currency_exposure	2025-11-24 19:01:11.037522
COP	ConocoPhillips	Mining, Crude-Oil Production	0.0	0.0	Neutral	Minimal currency impact	currency_exposure	2025-11-24 19:01:11.037522
COR	Cencora	Wholesalers: Health Care	0.0	0.0	Neutral	Minimal currency impact	currency_exposure	2025-11-24 19:01:11.037522
COST	Costco	General Merchandisers	0.0	0.0	Neutral	Minimal currency impact	currency_exposure	2025-11-24 19:01:11.037522
CSCO	Cisco Systems	Network and Other Communications Equipment	0.0	0.0	Neutral	Minimal currency impact	currency_exposure	2025-11-24 19:01:11.037522
HD	Home Depot	Specialty Retailers: Other	0.0	0.0	Neutral	Minimal currency impact	currency_exposure	2025-11-24 19:01:11.037522
HCA	HCA Healthcare	Health Care: Medical Facilities	0.0	0.0	Neutral	Minimal currency impact	currency_exposure	2025-11-24 19:01:11.037522
GSBD	Goldman Sachs	Commercial Banks	0.0	0.0	Neutral	Minimal currency impact	currency_exposure	2025-11-24 19:01:11.037522
GOOGL	Alphabet	Internet Services and Retailing	0.0	0.0	Neutral	Minimal currency impact	currency_exposure	2025-11-24 19:01:11.037522
GM	General Motors	Motor Vehicles & Parts	0.0	0.0	Neutral	Minimal currency impact	currency_exposure	2025-11-24 19:01:11.037522
GD	General Dynamics	Aerospace & Defense	0.0	0.0	Neutral	Minimal currency impact	currency_exposure	2025-11-24 19:01:11.037522
FNMA	Fannie Mae	Diversified Financials	0.0	0.0	Neutral	Minimal currency impact	currency_exposure	2025-11-24 19:01:11.037522
FMCC	Freddie Mac	Diversified Financials	0.0	0.0	Neutral	Minimal currency impact	currency_exposure	2025-11-24 19:01:11.037522
FDX	FedEx	Mail, Package and Freight Delivery	0.0	0.0	Neutral	Minimal currency impact	currency_exposure	2025-11-24 19:01:11.037522
F	Ford Motor	Motor Vehicles & Parts	0.0	0.0	Neutral	Minimal currency impact	currency_exposure	2025-11-24 19:01:11.037522
ET	Energy Transfer	Pipelines	0.0	0.0	Neutral	Minimal currency impact	currency_exposure	2025-11-24 19:01:11.037522
EPD	Enterprise Products Partners	Pipelines	0.0	0.0	Neutral	Minimal currency impact	currency_exposure	2025-11-24 19:01:11.037522
ELV	Elevance Health	Health Care: Insurance and Managed Care	0.0	0.0	Neutral	Minimal currency impact	currency_exposure	2025-11-24 19:01:11.037522
DIS	Walt Disney	Entertainment	0.0	0.0	Neutral	Minimal currency impact	currency_exposure	2025-11-24 19:01:11.037522
DELL	Dell Technologies	Computers, Office Equipment	0.0	0.0	Neutral	Minimal currency impact	currency_exposure	2025-11-24 19:01:11.037522
DE	Deere	Construction and Farm Machinery	0.0	0.0	Neutral	Minimal currency impact	currency_exposure	2025-11-24 19:01:11.037522
DAL	Delta Airlines	Airlines	0.0	0.0	Neutral	Minimal currency impact	currency_exposure	2025-11-24 19:01:11.037522
CVX	Chevron	Petroleum Refining	0.0	0.0	Neutral	Minimal currency impact	currency_exposure	2025-11-24 19:01:11.037522
CVS	CVS Health	Health Care: Pharmacy and Other Services	0.0	0.0	Neutral	Minimal currency impact	currency_exposure	2025-11-24 19:01:11.037522
XOM	Exxon Mobil	Petroleum Refining	0.0	0.0	Neutral	Minimal currency impact	currency_exposure	2025-11-24 19:01:11.037522
